buurt;Surinaams;Antilliaans;Turks;Marokkaans; overig niet-westers;totaal niet-westers;westers;Nederlands;totaal;;
E13a Zeeheldenbuurt;155;23;31;222;283;714;412;931;2057;;
E13b Spaarndammerbuurt Noordoost;232;48;98;246;378;1002;465;1261;2728;;
E13c Spaarndammerbuurt Zuidoost;69;9;21;64;105;268;207;549;1024;;
E13d Spaarndammerbuurt Zuidwest;112;27;28;70;180;417;369;899;1685;;
E13e Spaarndammerbuurt Midden;94;18;26;89;163;390;247;661;1298;;
E13f Spaarndammerbuurt Noordwest;182;24;48;186;262;702;344;937;1983;;
E13g Westergasfabriek;0;0;0;0;0;0;0;0;0;;
E13h Overbraker Binnenpolder;0;0;0;0;0;0;3;5;8;;
E14a De Wittenbuurt Noord;46;15;38;87;165;351;315;699;1365;;
E14b De Wittenbuurt Zuid;43;7;6;76;118;250;188;444;882;;
E14c Staatsliedenbuurt Noordoost;91;10;36;115;172;424;228;563;1215;;
E14d Fannius Scholtenbuurt;192;32;115;234;416;989;958;1742;3689;;
E14e Westerstaatsman;95;24;31;167;369;686;793;1392;2871;;
E14f Buyskade e.o.;115;34;54;198;294;695;691;1690;3076;;
E15a Ecowijk;49;11;19;103;124;306;250;760;1316;;
E15b Markthallen;0;0;0;0;0;0;7;10;17;;
E15c Bedrijvencentrum Westerkwartier;0;0;0;0;5;5;9;55;69;;
E15d Marcanti;53;13;34;97;135;332;231;507;1070;;
E16a Frederik Hendrikbuurt Noord;79;31;71;199;386;766;1032;2053;3851;;
E16b Frederik Hendrikbuurt Zuidoost;106;34;78;190;406;814;808;1664;3286;;
E16c Frederik Hendrikbuurt Zuidwest;35;6;21;97;96;255;237;644;1136;;
E17a Da Costabuurt Noord;132;42;69;115;390;748;1294;2618;4660;;
E18a Bellamybuurt Noord;118;38;79;232;278;745;551;1417;2713;;
E18b Bellamybuurt Zuid;152;37;115;190;416;910;1021;2029;3960;;
E19a Da Costabuurt Zuid;57;19;32;74;248;430;691;1152;2273;;
E19b Borgerbuurt;257;28;159;415;391;1250;503;1150;2903;;
E19c Lootsbuurt;94;20;63;131;259;567;447;893;1907;;
E20a Helmersbuurt Oost;35;24;20;26;193;298;772;1528;2598;;
E20b WG-terrein;94;22;45;70;205;436;599;1439;2474;;
E20c Cremerbuurt Oost;40;26;15;23;190;294;647;1349;2290;;
E21a Cremerbuurt West;100;47;92;106;509;854;1717;3185;5756;;
E21b Vondelparkbuurt West;67;18;26;14;183;308;611;1331;2250;;
E22a Vondelparkbuurt Oost;15;7;13;6;91;132;286;434;852;;
E22b Vondelparkbuurt Midden;23;12;12;35;72;154;240;525;919;;
E36a Woon- en groengebied Sloterdijk;4;1;1;3;33;42;101;308;451;;
E36b Bedrijventerrein Sloterdijk I;7;3;2;2;20;34;18;36;88;;
E37a Bedrijventerrein Landlust;18;3;20;21;72;134;183;263;580;;
E37c Bosleeuw;246;37;917;1200;627;3027;968;1761;5756;;
E37d Landlust Zuid;168;38;197;545;417;1365;789;1960;4114;;
E37e Erasmusparkbuurt Oost;75;21;93;242;206;637;407;883;1927;;
E37f Gibraltarbuurt;201;56;279;714;600;1850;728;1709;4287;;
E37g Landlust Noord;147;26;228;480;275;1156;351;890;2397;;
E38c Erasmusparkbuurt West;104;28;303;311;388;1134;933;2014;4081;;
E38d Robert Scottbuurt Oost;50;8;166;227;172;623;357;811;1791;;
E39a Robert Scottbuurt West;106;22;197;306;278;909;348;815;2072;;
E39b Laan van Spartaan;140;38;159;389;336;1062;404;795;2261;;
E39c Kolenkitbuurt Zuid;122;19;356;605;198;1300;295;640;2235;;
E39d Kolenkitbuurt Noord;194;29;835;1541;513;3112;403;641;4156;;
E40a Geuzenhofbuurt;31;6;23;23;137;220;489;1006;1715;;
E40b Trompbuurt;97;29;89;122;259;596;742;1888;3226;;
E40c Pieter van der Doesbuurt;88;19;72;167;243;589;395;917;1901;;
E41a John Franklinbuurt;84;21;118;210;221;654;409;889;1952;;
E41b Jan Maijenbuurt;177;27;240;314;291;1049;360;892;2301;;
E41c Orteliusbuurt Noord;83;13;99;160;164;519;226;634;1379;;
E41d Mercatorpark;428;117;84;378;529;1536;203;325;2064;;
E42a Balboaplein e.o.;164;30;336;345;358;1233;558;1289;3080;;
E42b Columbusplein e.o.;198;38;282;514;472;1504;560;1461;3525;;
E42c Orteliusbuurt Midden;73;25;85;170;193;546;431;957;1934;;
E42d Orteliusbuurt Zuid;92;23;82;111;194;502;432;962;1896;;
E43a Paramariboplein e.o.;100;47;131;189;361;828;981;2117;3926;;
E43b Postjeskade e.o.;100;25;87;91;272;575;632;1826;3033;;
E75a Kortenaerkwartier;74;18;104;205;215;616;453;1150;2219;;
E75b Filips van Almondekwartier;19;15;33;99;120;286;252;568;1106;;
E75c De Wester Quartier;92;23;180;273;244;812;327;674;1813;;
E75d Van Brakelkwartier;50;7;126;206;100;489;124;411;1024;;
F11a Sloterdijk II;0;0;0;2;5;7;6;2;15;;
F11c Sloterdijk III Oost;0;0;0;0;0;0;0;0;0;;
F11d Sloterdijk III West;13;4;7;9;13;46;24;25;95;;
F11e De Heining;1;0;0;0;0;1;4;23;28;;
F11f Teleport;17;8;15;15;202;257;296;149;702;;
F11h Bretten Oost;0;0;0;0;0;0;0;2;2;;
F11j Bretten West;0;0;0;0;0;0;0;0;0;;
F76a Buurt 3;318;56;1085;1507;851;3817;896;1691;6404;;
F76b Buurt 2;184;38;540;962;428;2152;390;534;3076;;
F77a Slotermeer Zuid;179;39;442;1012;455;2127;411;878;3416;;
F77b Noordoever Sloterplas;166;30;283;453;436;1368;576;1394;3338;;
F77c Buurt 4 Oost;188;29;646;673;461;1997;692;930;3619;;
F77d Buurt 5  Noord;215;22;776;1541;430;2984;255;442;3681;;
F77e Sloterpark;2;0;21;0;2;25;34;17;76;;
F77f Buurt 5 Zuid;169;25;793;1240;431;2658;354;893;3905;;
F78a Buurt 6;183;31;608;880;385;2087;282;689;3058;;
F78b Buurt 7;100;13;734;658;192;1697;380;747;2824;;
F78c Buurt 8;267;46;1084;1006;530;2933;607;711;4251;;
F78d Buurt 9;272;62;1469;1889;611;4303;600;1187;6090;;
F78e Eendrachtspark;28;4;64;25;27;148;59;105;312;;
