"ID";"Leeftijd";"Geboorteland";"RegioS";"Perioden";"MannenEnVrouwen_1"
"57371";"10000";"G008520";"GM0363";"2007JJ00";"   62465"
"57372";"10000";"G008520";"GM0363";"2008JJ00";"   62358"
"57373";"10000";"G008520";"GM0363";"2009JJ00";"   62579"
"57374";"10000";"G008520";"GM0363";"2010JJ00";"   62939"
"57375";"10000";"G008520";"GM0363";"2011JJ00";"   63370"
"57376";"10000";"G008520";"GM0363";"2012JJ00";"   63444"
"57377";"10000";"G008520";"GM0363";"2013JJ00";"   63162"
"57378";"10000";"G008520";"GM0363";"2014JJ00";"   62738"
"57379";"10000";"G008520";"GM0363";"2015JJ00";"   62876"
"57380";"10000";"G008520";"GM0363";"2016JJ00";"   63564"
"57381";"10000";"G008520";"GM0363";"2017JJ00";"   64266"
"57382";"10000";"G008520";"GM0363";"2018JJ00";"   65735"
"57383";"10000";"G008520";"GM0363";"2019JJ00";"   67592"
"75816";"10000";"G008524";"GM0363";"1996JJ00";"   28390"
"75817";"10000";"G008524";"GM0363";"1997JJ00";"   28383"
"75818";"10000";"G008524";"GM0363";"1998JJ00";"   29185"
"75819";"10000";"G008524";"GM0363";"1999JJ00";"   30117"
"75820";"10000";"G008524";"GM0363";"2000JJ00";"   30738"
"75821";"10000";"G008524";"GM0363";"2001JJ00";"   31737"
"75822";"10000";"G008524";"GM0363";"2002JJ00";"   32395"
"75823";"10000";"G008524";"GM0363";"2003JJ00";"   32906"
"75824";"10000";"G008524";"GM0363";"2004JJ00";"   33520"
"75825";"10000";"G008524";"GM0363";"2005JJ00";"   33890"
"75826";"10000";"G008524";"GM0363";"2006JJ00";"   33604"
"75827";"10000";"G008524";"GM0363";"2007JJ00";"   33637"
"75828";"10000";"G008524";"GM0363";"2008JJ00";"   33584"
"75829";"10000";"G008524";"GM0363";"2009JJ00";"   34142"
"75830";"10000";"G008524";"GM0363";"2010JJ00";"   34543"
"75831";"10000";"G008524";"GM0363";"2011JJ00";"   35016"
"75832";"10000";"G008524";"GM0363";"2012JJ00";"   35581"
"75833";"10000";"G008524";"GM0363";"2013JJ00";"   35856"
"75834";"10000";"G008524";"GM0363";"2014JJ00";"   36338"
"75835";"10000";"G008524";"GM0363";"2015JJ00";"   37201"
"75836";"10000";"G008524";"GM0363";"2016JJ00";"   39026"
"75837";"10000";"G008524";"GM0363";"2017JJ00";"   41917"
"75838";"10000";"G008524";"GM0363";"2018JJ00";"   44437"
"75839";"10000";"G008524";"GM0363";"2019JJ00";"   46860"
"94272";"10000";"G007933";"GM0363";"1996JJ00";"   55471"
"94273";"10000";"G007933";"GM0363";"1997JJ00";"   52877"
"94274";"10000";"G007933";"GM0363";"1998JJ00";"   54175"
"94275";"10000";"G007933";"GM0363";"1999JJ00";"   55883"
"94276";"10000";"G007933";"GM0363";"2000JJ00";"   56986"
"94277";"10000";"G007933";"GM0363";"2001JJ00";"   58767"
"94278";"10000";"G007933";"GM0363";"2002JJ00";"   59943"
"94279";"10000";"G007933";"GM0363";"2003JJ00";"   60870"
"94280";"10000";"G007933";"GM0363";"2004JJ00";"   62080"
"94281";"10000";"G007933";"GM0363";"2005JJ00";"   63434"
"94282";"10000";"G007933";"GM0363";"2006JJ00";"   63547"
"94283";"10000";"G007933";"GM0363";"2007JJ00";"   63257"
"94284";"10000";"G007933";"GM0363";"2008JJ00";"   65576"
"94285";"10000";"G007933";"GM0363";"2009JJ00";"   68858"
"94286";"10000";"G007933";"GM0363";"2010JJ00";"   71655"
"94287";"10000";"G007933";"GM0363";"2011JJ00";"   74826"
"94288";"10000";"G007933";"GM0363";"2012JJ00";"   77607"
"94289";"10000";"G007933";"GM0363";"2013JJ00";"   79429"
"94290";"10000";"G007933";"GM0363";"2014JJ00";"   81764"
"94291";"10000";"G007933";"GM0363";"2015JJ00";"   85781"
"94292";"10000";"G007933";"GM0363";"2016JJ00";"   90527"
"94293";"10000";"G007933";"GM0363";"2017JJ00";"   96345"
"94294";"10000";"G007933";"GM0363";"2018JJ00";"  102596"
"94295";"10000";"G007933";"GM0363";"2019JJ00";"  108830"
"112728";"10000";"G008531";"GM0363";"1996JJ00";"    1135"
"112729";"10000";"G008531";"GM0363";"1997JJ00";"    1067"
"112730";"10000";"G008531";"GM0363";"1998JJ00";"    1090"
"112731";"10000";"G008531";"GM0363";"1999JJ00";"    1165"
"112732";"10000";"G008531";"GM0363";"2000JJ00";"    1278"
"112733";"10000";"G008531";"GM0363";"2001JJ00";"    1448"
"112734";"10000";"G008531";"GM0363";"2002JJ00";"    1581"
"112735";"10000";"G008531";"GM0363";"2003JJ00";"    1694"
"112736";"10000";"G008531";"GM0363";"2004JJ00";"    1782"
"112737";"10000";"G008531";"GM0363";"2005JJ00";"    1794"
"112738";"10000";"G008531";"GM0363";"2006JJ00";"    1760"
