pid,R-Precision,nDCG,rating,model
936754,0.234042553,0.642051996,binary,SVD_50
847846,0,0,binary,SVD_50
181914,0.024390244,0.265717159,binary,SVD_50
429568,0.058823529,0.383595644,binary,SVD_50
52521,0.028985507,0.366446654,binary,SVD_50
583401,0.112903226,0.611385026,binary,SVD_50
953285,0,0.277929125,binary,SVD_50
286912,0,0,binary,SVD_50
150864,0.090909091,0.363328567,binary,SVD_50
447984,0,0.222794809,binary,SVD_50
579821,0.094339623,0.429738353,binary,SVD_50
738866,0.073170732,0.516249666,binary,SVD_50
252359,0.162790698,0.562134986,binary,SVD_50
832600,0.0625,1,binary,SVD_50
353744,0,0,binary,SVD_50
864507,0,0,binary,SVD_50
849997,0.288732394,0.833602184,binary,SVD_50
429162,0.076923077,0.411850063,binary,SVD_50
621765,0.074074074,0.57539672,binary,SVD_50
133193,0.038461538,0.264132921,binary,SVD_50
872449,0.157894737,0.803100721,binary,SVD_50
14041,0.105263158,0.422646714,binary,SVD_50
240320,0.078125,0.422893745,binary,SVD_50
917051,0.142857143,0.347249649,binary,SVD_50
850657,0,0.300596183,binary,SVD_50
604543,0.36,0.722902546,binary,SVD_50
785878,0,0.260557359,binary,SVD_50
210599,0.291666667,0.628319315,binary,SVD_50
232291,0.02,0.312818381,binary,SVD_50
985571,0.1875,0.391006171,binary,SVD_50
66599,0,0,binary,SVD_50
276390,0,0.174362578,binary,SVD_50
978447,0,0.219093607,binary,SVD_50
664137,0,0,binary,SVD_50
907077,0.0625,0.434477257,binary,SVD_50
291552,0.193548387,0.51951259,binary,SVD_50
772274,0,0.18920036,binary,SVD_50
536221,0.0625,0.562944834,binary,SVD_50
739202,0,0.22565463,binary,SVD_50
931083,0.2,0.646045219,binary,SVD_50
816634,0.189655172,0.677665699,binary,SVD_50
470240,0.134969325,0.614295095,binary,SVD_50
582972,0.114754098,0.504873251,binary,SVD_50
35637,0.083333333,0.337432373,binary,SVD_50
661803,0.03030303,0.369804805,binary,SVD_50
747799,0.216666667,0.672992504,binary,SVD_50
855837,0,0,binary,SVD_50
565458,0,0,binary,SVD_50
905994,0,0.268745338,binary,SVD_50
53162,0,0.212052884,binary,SVD_50
417709,0.090909091,0.401007623,binary,SVD_50
547169,0,0,binary,SVD_50
837875,0.142857143,0.369904398,binary,SVD_50
934458,0.235294118,0.714177327,binary,SVD_50
585490,0.2,0.516375064,binary,SVD_50
212667,0.061728395,0.375108166,binary,SVD_50
132308,0.259259259,0.607580982,binary,SVD_50
913049,0,0.17296969,binary,SVD_50
150414,0.027027027,0.215338279,binary,SVD_50
419652,0.173913043,0.607686157,binary,SVD_50
777922,0.12,0.678616989,binary,SVD_50
276742,0.009259259,0.252595541,binary,SVD_50
378297,0,0,binary,SVD_50
681375,0,0.140884119,binary,SVD_50
46518,0,0,binary,SVD_50
440066,0.076923077,0.359881999,binary,SVD_50
441268,0,0.198512983,binary,SVD_50
443966,0.052631579,0.392549087,binary,SVD_50
150956,0.204081633,0.661585407,binary,SVD_50
849702,0.294117647,0.712494569,binary,SVD_50
931930,0,0.11417841,binary,SVD_50
761229,0.106060606,0.550340413,binary,SVD_50
772553,0.096774194,0.45394527,binary,SVD_50
629252,0.036585366,0.34481542,binary,SVD_50
660318,0,0,binary,SVD_50
81615,0,0.255313946,binary,SVD_50
325440,0,0.313533122,binary,SVD_50
49665,0.071428571,0.316447837,binary,SVD_50
711411,0.173913043,0.413802286,binary,SVD_50
436433,0.454545455,0.886621073,binary,SVD_50
859400,0.238095238,0.514326815,binary,SVD_50
357219,0,0,binary,SVD_50
97939,0.015384615,0.232967117,binary,SVD_50
436996,0.45112782,0.8555811,binary,SVD_50
25064,0.172839506,0.5082504,binary,SVD_50
883766,0.024691358,0.425128931,binary,SVD_50
105367,0.35443038,0.832251479,binary,SVD_50
565320,0.489361702,0.902061613,binary,SVD_50
114307,0.037037037,0.681757692,binary,SVD_50
