"Geslacht";"Persoonskenmerken";"Perioden";"Beroepsbevolking (x 1 000)";"Werkzame beroepsbevolking/Werkzame beroepsbevolking (x 1 000)";"Werkloze beroepsbevolking (x 1 000)"
"Mannen";"Totaal";"1995";"    4067";"    3814";"     253"
"Mannen";"Totaal";"1996";"    4098";"    3870";"     228"
"Mannen";"Totaal";"1997";"    4140";"    3940";"     200"
"Mannen";"Totaal";"1998";"    4190";"    4036";"     153"
"Mannen";"Totaal";"1999";"    4233";"    4105";"     128"
"Mannen";"Totaal";"2000";"    4275";"    4162";"     114"
"Mannen";"Totaal";"2001 voor revisie";"    4293";"    4185";"     109"
"Mannen";"Totaal";"2002";"    4323";"    4176";"     147"
"Mannen";"Totaal";"2003";"    4317";"    4111";"     206"
"Mannen";"Totaal";"2004";"    4315";"    4068";"     247"
"Mannen";"Totaal";"2005";"    4306";"    4069";"     236"
"Mannen";"Totaal";"2006";"    4291";"    4100";"     191"
"Mannen";"Totaal";"2007";"    4339";"    4185";"     154"
"Mannen";"Totaal";"2008";"    4408";"    4266";"     142"
"Mannen";"Totaal";"2009";"    4397";"    4200";"     197"
"Mannen";"Totaal";"2010";"    4337";"    4119";"     218"
"Mannen";"Totaal";"2011";"    4319";"    4095";"     224"
"Mannen";"Totaal";"2012";"    4343";"    4069";"     274"
"Mannen";"Totaal";"2013";"    4354";"    3999";"     355"
"Vrouwen";"Totaal";"1960";"    1163";"    1147";"      16"
"Vrouwen";"Totaal";"1961";"    1179";"    1165";"      13"
"Vrouwen";"Totaal";"1962";"    1217";"    1201";"      16"
"Vrouwen";"Totaal";"1963";"    1241";"    1225";"      16"
"Vrouwen";"Totaal";"1964";"    1240";"    1224";"      16"
"Vrouwen";"Totaal";"1965";"    1285";"    1269";"      17"
"Vrouwen";"Totaal";"1966";"    1318";"    1299";"      19"
"Vrouwen";"Totaal";"1967";"    1300";"    1271";"      28"
"Vrouwen";"Totaal";"1968";"    1334";"    1304";"      30"
"Vrouwen";"Totaal";"1969";"    1390";"    1363";"      27"
"Vrouwen";"Totaal";"1970";"    1396";"    1368";"      28"
"Vrouwen";"Totaal";"1971";"    1453";"    1417";"      36"
"Vrouwen";"Totaal";"1972";"    1437";"    1387";"      50"
"Vrouwen";"Totaal";"1973";"    1486";"    1429";"      57"
"Vrouwen";"Totaal";"1974";"    1498";"    1430";"      68"
"Vrouwen";"Totaal";"1975";"    1491";"    1398";"      93"
"Vrouwen";"Totaal";"1976";"    1555";"    1454";"     101"
"Vrouwen";"Totaal";"1977";"    1577";"    1473";"     104"
"Vrouwen";"Totaal";"1978";"    1628";"    1511";"     117"
"Vrouwen";"Totaal";"1979";"    1708";"    1585";"     123"
"Vrouwen";"Totaal";"1980";"    1697";"    1567";"     130"
"Vrouwen";"Totaal";"1981";"    1746";"    1591";"     156"
"Vrouwen";"Totaal";"1982";"    1767";"    1568";"     198"
"Vrouwen";"Totaal";"1983";"    1822";"    1593";"     229"
"Vrouwen";"Totaal";"1984";"    1824";"    1597";"     227"
"Vrouwen";"Totaal";"1985";"    1878";"    1654";"     224"
"Vrouwen";"Totaal";"1986";"    1977";"    1749";"     228"
"Vrouwen";"Totaal";"1987";"    1980";"    1721";"     259"
"Vrouwen";"Totaal";"1988";"    2070";"    1814";"     257"
"Vrouwen";"Totaal";"1989";"    2104";"    1858";"     246"
"Vrouwen";"Totaal";"1990";"    2198";"    1958";"     240"
"Vrouwen";"Totaal";"1991";"    2277";"    2057";"     220"
"Vrouwen";"Totaal";"1992";"    2330";"    2105";"     225"
"Vrouwen";"Totaal";"1993";"    2407";"    2154";"     253"
"Vrouwen";"Totaal";"1994";"    2452";"    2172";"     280"
"Vrouwen";"Totaal";"1995";"    2529";"    2249";"     281"
"Vrouwen";"Totaal";"1996";"    2588";"    2315";"     273"
"Vrouwen";"Totaal";"1997";"    2692";"    2444";"     248"
"Vrouwen";"Totaal";"1998";"    2751";"    2551";"     201"
"Vrouwen";"Totaal";"1999";"    2836";"    2663";"     173"
"Vrouwen";"Totaal";"2000";"    2912";"    2755";"     157"
"Vrouwen";"Totaal";"2001 voor revisie";"    2980";"    2836";"     143"
"Vrouwen";"Totaal";"2002";"    2989";"    2834";"     155"
"Vrouwen";"Totaal";"2003";"    3047";"    2857";"     190"
