pid,R-Precision,nDCG,rating,model
627976,0.35185185185185186,0.7849362516382816,pos,SVD_100
269772,0.14545454545454545,0.6025208351263864,pos,SVD_100
808613,0.08823529411764706,0.4990998674396038,pos,SVD_100
701492,0.038461538461538464,0.5146896217459284,pos,SVD_100
863537,0.0,0.2273027702838992,pos,SVD_100
12988,0.24,0.6867342555847028,pos,SVD_100
473532,0.05084745762711865,0.40024781251091035,pos,SVD_100
155153,0.06896551724137931,0.41762420408663886,pos,SVD_100
580572,0.03125,0.2599369247328944,pos,SVD_100
362580,0.0,0.0,pos,SVD_100
933886,0.0,0.0,pos,SVD_100
298933,0.10294117647058823,0.4910679090893786,pos,SVD_100
323732,0.12048192771084337,0.5184820770497276,pos,SVD_100
416017,0.031578947368421054,0.35809025757835383,pos,SVD_100
165057,0.0,0.23122006575400603,pos,SVD_100
193329,0.07692307692307693,0.34168475888773747,pos,SVD_100
837567,0.1095890410958904,0.5387312670602543,pos,SVD_100
843777,0.05405405405405406,0.2864560174849012,pos,SVD_100
578917,0.05,0.44043525727011773,pos,SVD_100
245866,0.09090909090909091,0.47865923635309104,pos,SVD_100
923079,0.18604651162790697,0.5301691900513337,pos,SVD_100
264675,0.13793103448275862,0.6127521190509727,pos,SVD_100
923508,0.09375,0.41700923626995473,pos,SVD_100
300372,0.0,0.3269835270597791,pos,SVD_100
409815,0.14925373134328357,0.5983452108256256,pos,SVD_100
665456,0.046511627906976744,0.3401664291027577,pos,SVD_100
241885,0.06666666666666667,0.39533072355811166,pos,SVD_100
404641,0.0,0.3082797667270209,pos,SVD_100
552518,0.3387096774193548,0.8224270722423725,pos,SVD_100
899288,0.16666666666666666,0.4647753922493485,pos,SVD_100
936891,0.07272727272727272,0.4694370887743618,pos,SVD_100
144619,0.35555555555555557,0.8289701890523629,pos,SVD_100
81947,0.0,0.12422593963811336,pos,SVD_100
524175,0.05405405405405406,0.3940485893218833,pos,SVD_100
722764,0.0,0.22454705835886876,pos,SVD_100
457058,0.1,0.44223130011151696,pos,SVD_100
14256,0.18181818181818182,0.619159746241122,pos,SVD_100
86635,0.015625,0.3349762180682768,pos,SVD_100
613383,0.06666666666666667,0.5098707146699971,pos,SVD_100
60836,0.19230769230769232,0.4690064506662738,pos,SVD_100
495520,0.09523809523809523,0.4391968523953996,pos,SVD_100
286380,0.25,0.678120171686404,pos,SVD_100
886849,0.07692307692307693,0.4220513290022614,pos,SVD_100
321873,0.23711340206185566,0.7163074468994868,pos,SVD_100
621589,0.0,0.14026655943145866,pos,SVD_100
346135,0.03773584905660377,0.42827851372458886,pos,SVD_100
792147,0.21333333333333335,0.6512957437343658,pos,SVD_100
997194,0.019230769230769232,0.30282137224896544,pos,SVD_100
651486,0.1111111111111111,0.43589732301807954,pos,SVD_100
476896,0.1,0.36887179664802505,pos,SVD_100
170620,0.10344827586206896,0.38645224329914113,pos,SVD_100
962404,0.34959349593495936,0.7871860203314941,pos,SVD_100
72322,0.21875,0.4963121765644292,pos,SVD_100
903038,0.2682926829268293,0.738097435339377,pos,SVD_100
830192,0.3888888888888889,0.597501529940033,pos,SVD_100
680196,0.1702127659574468,0.6231742144869574,pos,SVD_100
300005,0.06666666666666667,0.31358743338123235,pos,SVD_100
876482,0.0,0.16485085672216038,pos,SVD_100
202403,0.028169014084507043,0.33351806044109167,pos,SVD_100
557315,0.0,0.23847460871034484,pos,SVD_100
628819,0.05555555555555555,0.3486730431773696,pos,SVD_100
610184,0.13157894736842105,0.5539252688853689,pos,SVD_100
568376,0.15384615384615385,0.664542014004247,pos,SVD_100
578631,0.038461538461538464,0.5082108145928999,pos,SVD_100
141476,0.0,0.1824173602696031,pos,SVD_100
458978,0.008130081300813009,0.23278310001626434,pos,SVD_100
132652,0.3125,0.617384654992435,pos,SVD_100
285653,0.0,0.3455935861076049,pos,SVD_100
245242,0.25,0.6803162803719343,pos,SVD_100
867627,0.23809523809523808,0.5340381350182422,pos,SVD_100
303398,0.075,0.44347451482919165,pos,SVD_100
634631,0.0,0.3524007938535797,pos,SVD_100
866370,0.037037037037037035,0.2543714293161362,pos,SVD_100
48004,0.2571428571428571,0.5453390098001653,pos,SVD_100
879324,0.4117647058823529,0.8110500377337688,pos,SVD_100
194117,0.0,0.23813818788594243,pos,SVD_100
529025,0.17218543046357615,0.719749207359259,pos,SVD_100
239226,0.024390243902439025,0.24924790265508046,pos,SVD_100
77826,0.30434782608695654,0.7651255981941931,pos,SVD_100
597041,0.0,0.0,pos,SVD_100
715480,0.0,0.0,pos,SVD_100
394418,0.23684210526315788,0.6780415711285868,pos,SVD_100
522187,0.22115384615384615,0.7338689719479019,pos,SVD_100
639946,0.2982456140350877,0.7242887832063458,pos,SVD_100
953714,0.14285714285714285,0.5363755139417041,pos,SVD_100
40955,0.01875,0.31443357760845264,pos,SVD_100
937513,0.0,0.22139613271300823,pos,SVD_100
829893,0.0,0.0,pos,SVD_100
792418,0.1320754716981132,0.5072294359812111,pos,SVD_100
349069,0.0,0.0,pos,SVD_100
557841,0.0,0.0,pos,SVD_100
892176,0.05128205128205128,0.37107762602779687,pos,SVD_100
514164,0.027777777777777776,0.3550034857703925,pos,SVD_100
875574,0.0,0.21501423747873954,pos,SVD_100
414027,0.07692307692307693,0.5992004095361857,pos,SVD_100
311221,0.05660377358490566,0.415230241755362,pos,SVD_100
389652,0.058823529411764705,0.4633299155044227,pos,SVD_100
954687,0.027777777777777776,0.34058918380478803,pos,SVD_100
407470,0.0,0.21005915227711563,pos,SVD_100
122593,0.28865979381443296,0.85158432926087,pos,SVD_100
755545,0.48,0.7397208631678457,pos,SVD_100
162037,0.0,0.0,pos,SVD_100
768416,0.0,0.3198158455190833,pos,SVD_100
763437,0.0,0.15565860881168628,pos,SVD_100
989654,0.06666666666666667,1.0,pos,SVD_100
594238,0.1,0.34253758143088564,pos,SVD_100
474824,0.041666666666666664,0.2586348923699997,pos,SVD_100
831833,0.09090909090909091,0.3828962208691328,pos,SVD_100
519464,0.2,0.5734073274520697,pos,SVD_100
809649,0.0,0.24728470737030053,pos,SVD_100
157011,0.025,0.40037108066872346,pos,SVD_100
175859,0.06779661016949153,0.539933978126149,pos,SVD_100
457079,0.1111111111111111,0.5647939509731984,pos,SVD_100
729016,0.43137254901960786,0.8736019824028541,pos,SVD_100
572344,0.16666666666666666,0.6671524282996689,pos,SVD_100
513217,0.13793103448275862,0.5111522136131812,pos,SVD_100
760039,0.07894736842105263,0.4098845180333027,pos,SVD_100
948809,0.0,0.19427385380571177,pos,SVD_100
647132,0.0,0.2455418242169027,pos,SVD_100
884255,0.06818181818181818,0.4762471648411596,pos,SVD_100
442788,0.1,0.27775536263933637,pos,SVD_100
13232,0.058823529411764705,0.456853550059811,pos,SVD_100
267302,0.01818181818181818,0.24261276290834577,pos,SVD_100
102397,0.0,0.0,pos,SVD_100
428301,0.058823529411764705,0.242791595489885,pos,SVD_100
681038,0.0,0.0,pos,SVD_100
304986,0.3424657534246575,0.7886378345669395,pos,SVD_100
747072,0.06153846153846154,0.4108052740213598,pos,SVD_100
756979,0.28888888888888886,0.6079578074580423,pos,SVD_100
968713,0.0,0.0,pos,SVD_100
205445,0.0,0.14332232775009315,pos,SVD_100
945268,0.0,0.27523798917439907,pos,SVD_100
45537,0.13043478260869565,0.5628002092601107,pos,SVD_100
433604,0.0761904761904762,0.530673660977125,pos,SVD_100
623515,0.0,0.3142795527977837,pos,SVD_100
721279,0.21777777777777776,0.7253216042439086,pos,SVD_100
619138,0.05555555555555555,0.27425343075544145,pos,SVD_100
675305,0.0,0.16121762997255512,pos,SVD_100
366681,0.15873015873015872,0.5356047540938701,pos,SVD_100
81148,0.0,0.16321665652070422,pos,SVD_100
976302,0.0,0.0,pos,SVD_100
686710,0.16666666666666666,0.6699782484666033,pos,SVD_100
296821,0.07547169811320754,0.46064662682522706,pos,SVD_100
496179,0.037267080745341616,0.3805411650524779,pos,SVD_100
65914,0.4444444444444444,0.8582544543700097,pos,SVD_100
203361,0.24528301886792453,0.7127837164716875,pos,SVD_100
500426,0.0,0.2596026792137841,pos,SVD_100
1488,0.0,0.0,pos,SVD_100
622360,0.11764705882352941,0.5927194444334003,pos,SVD_100
138273,0.02564102564102564,0.21696192499856756,pos,SVD_100
835863,0.0,0.2554102781665704,pos,SVD_100
906542,0.0,0.13559249537698637,pos,SVD_100
802607,0.13333333333333333,0.6095660758357336,pos,SVD_100
671437,0.08333333333333333,0.5659578910078099,pos,SVD_100
509289,0.22826086956521738,0.7502674923076446,pos,SVD_100
644715,0.29411764705882354,0.7991675269655615,pos,SVD_100
994120,0.12121212121212122,0.401957536625586,pos,SVD_100
575439,0.23893805309734514,0.7024112816372985,pos,SVD_100
