pid,R-Precision,nDCG,rating,model
52653,0.0,0.11638114635461058,binary,ALS
991975,0.03333333333333333,0.26366297934439337,binary,ALS
746161,0.2727272727272727,0.6740537898669596,binary,ALS
325434,0.05660377358490566,0.5906865934163035,binary,ALS
40000,0.0,0.3580079427391579,binary,ALS
618790,0.0,0.1729696904450771,binary,ALS
495270,0.23809523809523808,0.5048358684105747,binary,ALS
527254,0.0,0.0,binary,ALS
667586,0.11764705882352941,0.4755113672416597,binary,ALS
690372,0.0,0.0,binary,ALS
478611,0.1038961038961039,0.5766634542060107,binary,ALS
345140,0.0,0.24149998204035927,binary,ALS
831932,0.26153846153846155,0.6427628303080418,binary,ALS
849744,0.16216216216216217,0.6242173894977352,binary,ALS
785704,0.038461538461538464,0.35192608244523405,binary,ALS
685895,0.05263157894736842,0.45225196136078355,binary,ALS
961648,0.0,0.26620895986074206,binary,ALS
120467,0.14285714285714285,0.7216247090811778,binary,ALS
475928,0.2222222222222222,0.4075179072156704,binary,ALS
340071,0.15492957746478872,0.5357597935140755,binary,ALS
850428,0.0,0.21059309553456465,binary,ALS
148643,0.17543859649122806,0.7114567906402002,binary,ALS
102200,0.03225806451612903,0.4037441857832644,binary,ALS
344003,0.047619047619047616,0.3255820934560763,binary,ALS
514544,0.1276595744680851,0.5218048867800742,binary,ALS
676522,0.1320754716981132,0.47635109681395515,binary,ALS
488001,0.05263157894736842,0.2437010578229822,binary,ALS
442132,0.21428571428571427,0.5530586658949607,binary,ALS
340998,0.0,0.11197283742675725,binary,ALS
774294,0.029850746268656716,0.3511437008976055,binary,ALS
535084,0.06666666666666667,0.39027377351201187,binary,ALS
549083,0.047619047619047616,0.23341799075817932,binary,ALS
859765,0.0,0.2384288121128223,binary,ALS
203182,0.34146341463414637,0.7477051765300087,binary,ALS
390243,0.11956521739130435,0.47828745245805615,binary,ALS
980417,0.041666666666666664,0.3048299220192823,binary,ALS
524545,0.0,0.35093916414561466,binary,ALS
641367,0.0,0.20928971149794967,binary,ALS
910757,0.0,0.21850804148659195,binary,ALS
126679,0.09090909090909091,0.5372675897356944,binary,ALS
874558,0.0,0.0,binary,ALS
101674,0.0,0.23945425165220194,binary,ALS
900871,0.037037037037037035,0.2695439973425057,binary,ALS
742979,0.0,0.2632875013664808,binary,ALS
635346,0.0,0.0,binary,ALS
513875,0.16666666666666666,0.4665855308327905,binary,ALS
488020,0.40625,0.771902389327044,binary,ALS
128511,0.26666666666666666,0.8078491125778332,binary,ALS
778719,0.21212121212121213,0.5510454213195125,binary,ALS
786407,0.12244897959183673,0.5366332986069907,binary,ALS
772257,0.1111111111111111,0.6363394672659828,binary,ALS
139915,0.0,0.19560486182059397,binary,ALS
796478,0.13636363636363635,0.6210315235895975,binary,ALS
778487,0.14754098360655737,0.515381521746493,binary,ALS
346740,0.0,0.32007810019718047,binary,ALS
748367,0.058823529411764705,0.3543332837520251,binary,ALS
570527,0.0,0.3303058084868588,binary,ALS
521874,0.0,0.0,binary,ALS
349330,0.13793103448275862,0.419380844482961,binary,ALS
582297,0.0,0.0,binary,ALS
965258,0.0851063829787234,0.44433626516404906,binary,ALS
457260,0.14942528735632185,0.674518954795237,binary,ALS
173803,0.03278688524590164,0.2595318163300988,binary,ALS
747196,0.0425531914893617,0.5493291840580328,binary,ALS
587852,0.15384615384615385,0.4785630648568415,binary,ALS
652669,0.1111111111111111,0.4951859017618622,binary,ALS
64348,0.3037974683544304,0.6893192402033406,binary,ALS
267931,0.0,0.19840138290858347,binary,ALS
2002,0.14354066985645933,0.5775012118997563,binary,ALS
884068,0.029585798816568046,0.4222695535507798,binary,ALS
910121,0.09090909090909091,0.42728180823259826,binary,ALS
548929,0.3,0.7721577142286236,binary,ALS
921874,0.0,0.0,binary,ALS
392929,0.0,0.0,binary,ALS
874989,0.3625,0.839628598900595,binary,ALS
241830,0.07352941176470588,0.43442794468990753,binary,ALS
889102,0.0,0.17145196100142013,binary,ALS
696004,0.19444444444444445,0.7085312935022098,binary,ALS
856034,0.0,0.3970473642524139,binary,ALS
381458,0.10344827586206896,0.5589810206944642,binary,ALS
989289,0.14285714285714285,0.6078701529469283,binary,ALS
605561,0.0,0.20988613724682068,binary,ALS
505045,0.22807017543859648,0.5847702172669194,binary,ALS
806581,0.0,0.13947147282556493,binary,ALS
930053,0.018867924528301886,0.34088270732702775,binary,ALS
558411,0.05511811023622047,0.4119013173864454,binary,ALS
345370,0.08333333333333333,0.42856325935439227,binary,ALS
540206,0.0,0.17715621709753007,binary,ALS
239365,0.0,0.1284042773229231,binary,ALS
210702,0.20634920634920634,0.7785952113644471,binary,ALS
799345,0.14285714285714285,0.5503110451705688,binary,ALS
290379,0.4028776978417266,0.8590915022693623,binary,ALS
314913,0.05263157894736842,0.3447784590363818,binary,ALS
447534,0.2549019607843137,0.7578211697730963,binary,ALS
584134,0.11538461538461539,0.39481997326803536,binary,ALS
67040,0.0,0.0,binary,ALS
266063,0.043478260869565216,0.31546487678572877,binary,ALS
727602,0.3018867924528302,0.8273362014430595,binary,ALS
307156,0.0,0.28247131276146087,binary,ALS
118861,0.10526315789473684,0.4119491521082308,binary,ALS
